orig,I,X,X2,X',X0,Y,Y2,Y',Y0,Z,Z2,Z',Z0,R,R2,R',L,L2,L',T,T2,T',r-lower,r2-lower,r'-lower,l-lower,l2-lower,l'-lower,RL',R2L2,R'L,U,U2,U',D,D2,D',H,H2,H',u-lower,u2-lower,u'-lower,d-lower,d2-lower,d'-lower,UD',U2D2,U'D,F,F2,F',B,B2,B',S,S2,S',f-lower,f2-lower,f'-lower,b-lower,b2-lower,b'-lower,FB',F2B2,F'B
wht,wht,ora,yel,red,wht,wht,wht,wht,wht,blu,yel,grn,wht,wht,wht,wht,wht,wht,wht,ora,yel,red,ora,yel,red,red,yel,ora,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,wht,blu,yel,grn,blu,yel,grn,grn,yel,blu,wht,wht,wht
grn,grn,grn,grn,grn,grn,ora,blu,red,grn,wht,blu,yel,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,grn,ora,blu,red,ora,blu,red,red,blu,ora,grn,grn,grn,grn,grn,grn,grn,grn,grn,wht,blu,yel,wht,blu,yel,yel,blu,wht,grn,grn,grn
red,red,wht,ora,yel,red,grn,ora,blu,red,red,red,red,red,red,red,red,red,red,red,wht,ora,yel,wht,ora,yel,yel,ora,wht,red,red,red,red,red,red,red,red,red,grn,ora,blu,grn,ora,blu,blu,ora,grn,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red
blu,blu,blu,blu,blu,blu,red,grn,ora,blu,yel,grn,wht,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,blu,red,grn,ora,red,grn,ora,ora,grn,red,blu,blu,blu,blu,blu,blu,blu,blu,blu,yel,grn,wht,yel,grn,wht,wht,grn,yel,blu,blu,blu
ora,ora,yel,red,wht,ora,blu,red,grn,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,yel,red,wht,yel,red,wht,wht,red,yel,ora,ora,ora,ora,ora,ora,ora,ora,ora,blu,red,grn,blu,red,grn,grn,red,blu,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora,ora
yel,yel,red,wht,ora,yel,yel,yel,yel,yel,grn,wht,blu,yel,yel,yel,yel,yel,yel,yel,red,wht,ora,red,wht,ora,ora,wht,red,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,yel,grn,wht,blu,grn,wht,blu,blu,wht,grn,yel,yel,yel
A,A,S,U,I,A,B,C,D,A,N,W,H,A,A,A,A,I,U,S,A,A,A,A,A,A,I,U,S,S,U,I,B,C,D,A,A,A,A,A,A,B,C,D,A,A,A,B,C,D,A,A,A,H,W,N,A,A,A,A,A,A,H,W,N,N,W,H
B,B,T,V,J,B,C,D,A,B,O,X,E,B,T,V,J,B,B,B,B,B,B,T,V,J,B,B,B,T,V,J,C,D,A,B,B,B,B,B,B,C,D,A,B,B,B,C,D,A,B,B,B,E,X,O,B,B,B,B,B,B,E,X,O,O,X,E
C,C,Q,W,K,C,D,A,B,C,P,U,F,C,Q,W,K,C,C,C,C,C,C,Q,W,K,C,C,C,Q,W,K,D,A,B,C,C,C,C,C,C,D,A,B,C,C,C,D,A,B,P,U,F,C,C,C,C,C,C,P,U,F,C,C,C,P,U,F
D,D,R,X,L,D,A,B,C,D,M,V,G,D,D,D,D,L,X,R,D,D,D,D,D,D,L,X,R,R,X,L,A,B,C,D,D,D,D,D,D,A,B,C,D,D,D,A,B,C,M,V,G,D,D,D,D,D,D,M,V,G,D,D,D,M,V,G
E,E,H,G,F,E,Q,M,I,E,B,O,X,E,E,E,E,F,G,H,E,E,E,E,E,E,F,G,H,H,G,F,Q,M,I,E,E,E,E,E,E,Q,M,I,E,E,E,Q,M,I,E,E,E,X,O,B,E,E,E,E,E,E,X,O,B,B,O,X
F,F,E,H,G,F,R,N,J,F,C,P,U,F,F,F,F,G,H,E,F,F,F,F,F,F,G,H,E,E,H,G,R,N,J,F,F,F,F,F,F,R,N,J,F,F,F,R,N,J,C,P,U,F,F,F,F,F,F,C,P,U,F,F,F,C,P,U
G,G,F,E,H,G,S,O,K,G,D,M,V,G,G,G,G,H,E,F,G,G,G,G,G,G,H,E,F,F,E,H,G,G,G,K,O,S,G,G,G,G,G,G,K,O,S,S,O,K,D,M,V,G,G,G,G,G,G,D,M,V,G,G,G,D,M,V
H,H,G,F,E,H,T,P,L,H,A,N,W,H,H,H,H,E,F,G,H,H,H,H,H,H,E,F,G,G,F,E,H,H,H,L,P,T,H,H,H,H,H,H,L,P,T,T,P,L,H,H,H,W,N,A,H,H,H,H,H,H,W,N,A,A,N,W
I,I,A,S,U,I,E,Q,M,I,J,K,L,I,I,I,I,U,S,A,I,I,I,I,I,I,U,S,A,A,S,U,E,Q,M,I,I,I,I,I,I,E,Q,M,I,I,I,E,Q,M,J,K,L,I,I,I,I,I,I,J,K,L,I,I,I,J,K,L
J,J,B,T,V,J,F,R,N,J,K,L,I,J,B,T,V,J,J,J,J,J,J,B,T,V,J,J,J,B,T,V,F,R,N,J,J,J,J,J,J,F,R,N,J,J,J,F,R,N,K,L,I,J,J,J,J,J,J,K,L,I,J,J,J,K,L,I
K,K,C,Q,W,K,G,S,O,K,L,I,J,K,C,Q,W,K,K,K,K,K,K,C,Q,W,K,K,K,C,Q,W,K,K,K,O,S,G,K,K,K,K,K,K,O,S,G,G,S,O,L,I,J,K,K,K,K,K,K,L,I,J,K,K,K,L,I,J
L,L,D,R,X,L,H,T,P,L,I,J,K,L,L,L,L,X,R,D,L,L,L,L,L,L,X,R,D,D,R,X,L,L,L,P,T,H,L,L,L,L,L,L,P,T,H,H,T,P,I,J,K,L,L,L,L,L,L,I,J,K,L,L,L,I,J,K
M,M,N,O,P,M,I,E,Q,M,V,G,D,M,N,O,P,M,M,M,M,M,M,N,O,P,M,M,M,N,O,P,I,E,Q,M,M,M,M,M,M,I,E,Q,M,M,M,I,E,Q,V,G,D,M,M,M,M,M,M,V,G,D,M,M,M,V,G,D
N,N,O,P,M,N,J,F,R,N,W,H,A,N,O,P,M,N,N,N,N,N,N,O,P,M,N,N,N,O,P,M,J,F,R,N,N,N,N,N,N,J,F,R,N,N,N,J,F,R,N,N,N,A,H,W,N,N,N,N,N,N,A,H,W,W,H,A
O,O,P,M,N,O,K,G,S,O,X,E,B,O,P,M,N,O,O,O,O,O,O,P,M,N,O,O,O,P,M,N,O,O,O,S,G,K,O,O,O,O,O,O,S,G,K,K,G,S,O,O,O,B,E,X,O,O,O,O,O,O,B,E,X,X,E,B
P,P,M,N,O,P,L,H,T,P,U,F,C,P,M,N,O,P,P,P,P,P,P,M,N,O,P,P,P,M,N,O,P,P,P,T,H,L,P,P,P,P,P,P,T,H,L,L,H,T,U,F,C,P,P,P,P,P,P,U,F,C,P,P,P,U,F,C
Q,Q,W,K,C,Q,M,I,E,Q,T,S,R,Q,W,K,C,Q,Q,Q,Q,Q,Q,W,K,C,Q,Q,Q,W,K,C,M,I,E,Q,Q,Q,Q,Q,Q,M,I,E,Q,Q,Q,M,I,E,Q,Q,Q,R,S,T,Q,Q,Q,Q,Q,Q,R,S,T,T,S,R
R,R,X,L,D,R,N,J,F,R,Q,T,S,R,R,R,R,D,L,X,R,R,R,R,R,R,D,L,X,X,L,D,N,J,F,R,R,R,R,R,R,N,J,F,R,R,R,N,J,F,R,R,R,S,T,Q,R,R,R,R,R,R,S,T,Q,Q,T,S
S,S,U,I,A,S,O,K,G,S,R,Q,T,S,S,S,S,A,I,U,S,S,S,S,S,S,A,I,U,U,I,A,S,S,S,G,K,O,S,S,S,S,S,S,G,K,O,O,K,G,S,S,S,T,Q,R,S,S,S,S,S,S,T,Q,R,R,Q,T
T,T,V,J,B,T,P,L,H,T,S,R,Q,T,V,J,B,T,T,T,T,T,T,V,J,B,T,T,T,V,J,B,T,T,T,H,L,P,T,T,T,T,T,T,H,L,P,P,L,H,T,T,T,Q,R,S,T,T,T,T,T,T,Q,R,S,S,R,Q
